block,head,cosine,mean8,mean9,ratio,abs8,abs9,abs_ratio,std8,std9,std_ratio,ls_scale,rmse,rmse_scaled
12,12,0.978344,4.292494,5.967296,1.390170,4.292494,5.967296,1.390170,2.850399,2.974537,1.043551,1.266240,1.944957,1.379541
12,14,0.962338,5.039669,5.406445,1.072778,5.039669,5.407193,1.072926,2.331732,2.588553,1.110142,1.038785,1.643128,1.628963
13,0,0.935095,4.595139,3.789764,0.824733,4.595139,3.789764,0.824733,1.463991,1.340436,0.915604,0.779392,1.777695,1.424312
13,1,0.949907,4.376530,4.424067,1.010862,4.377523,4.425643,1.010993,1.822736,2.113206,1.159359,0.982279,1.534049,1.531748
13,3,0.943617,4.007833,4.167186,1.039760,4.008790,4.173481,1.041082,1.960401,2.025939,1.033431,0.979989,1.535906,1.533311
13,4,0.986622,8.114841,7.572601,0.933179,8.114841,7.572601,0.933179,1.557980,1.537743,0.987011,0.922628,1.412552,1.259612
13,5,0.985854,3.722113,2.385070,0.640784,3.722113,2.385070,0.640784,1.128308,0.844309,0.748296,0.641280,1.457971,0.423975
13,6,0.998151,7.594175,8.103387,1.067053,7.594175,8.103387,1.067053,1.482067,1.584973,1.069434,1.065167,0.711349,0.501805
13,7,0.920422,1.872566,1.528893,0.816469,2.031100,1.676570,0.825449,1.815263,1.675965,0.923263,0.800529,1.027090,0.885889
13,8,0.908430,2.650370,1.249771,0.471546,2.650370,1.252219,0.472470,1.316381,0.974295,0.740132,0.486285,1.657552,0.661959
13,9,0.924436,3.357100,3.736738,1.113085,3.410979,3.736738,1.095503,2.100765,2.241234,1.066866,1.017169,1.662135,1.660745
13,10,0.924483,2.913083,3.782548,1.298469,2.928475,3.782548,1.291644,1.769030,1.885861,1.066042,1.146649,1.686341,1.610654
13,11,0.910012,5.261729,4.433729,0.842637,5.261729,4.433729,0.842637,1.683546,1.701041,1.010392,0.782189,2.306849,1.968286
13,12,0.946238,4.985218,4.496780,0.902023,4.985218,4.496780,0.902023,2.298948,1.934507,0.841475,0.843794,1.800199,1.582989
13,14,0.946478,4.820696,4.798707,0.995439,4.820696,4.798707,0.995439,2.028145,1.955774,0.964317,0.937805,1.703426,1.672099
13,15,0.996408,-1.935938,-2.532294,1.308045,2.039764,2.644695,1.296569,0.757962,0.865387,1.141729,1.282625,0.629618,0.226584
14,1,0.997229,9.726396,8.843260,0.909202,9.726396,8.843260,0.909202,1.811633,1.976891,1.091220,0.913328,1.090674,0.674060
