block,head,n,n_images,frac,cosine_mean,a_mean,a_std,a_min,a_max,a_range,ratio_mean,ratio_std
7,1,21,22,0.954545,0.940722,0.701898,0.021962,0.666598,0.74096,0.074362,0.623962,0.041909
7,2,22,22,1.0,0.970238,0.933105,0.008307,0.922799,0.954216,0.031418,0.922164,0.018957
7,3,22,22,1.0,0.986218,0.676546,0.020038,0.652295,0.724893,0.072598,0.660809,0.021866
7,4,3,22,0.136364,0.905204,0.543902,0.002454,0.541152,0.545869,0.004718,0.439221,0.01027
7,5,11,22,0.5,0.914674,0.649877,0.014773,0.632615,0.675589,0.042974,0.523372,0.027543
7,6,22,22,1.0,0.981221,0.711944,0.017816,0.673168,0.741509,0.068341,0.685388,0.028007
7,7,22,22,1.0,0.97594,0.782875,0.021078,0.733061,0.813705,0.080644,0.723801,0.039563
7,8,22,22,1.0,0.965558,0.89813,0.034222,0.817781,0.953518,0.135737,0.832862,0.044669
7,9,22,22,1.0,0.99072,0.830626,0.011762,0.795535,0.85258,0.057045,0.820843,0.017587
7,10,22,22,1.0,0.998596,0.912606,0.004721,0.901042,0.919802,0.018761,0.910964,0.004831
7,11,22,22,1.0,0.974195,1.107108,0.020444,1.068639,1.163825,0.095186,1.209499,0.037467
7,12,22,22,1.0,0.988612,0.737835,0.016396,0.700308,0.763208,0.0629,0.725569,0.019428
7,13,22,22,1.0,0.946467,0.665539,0.015595,0.633243,0.696358,0.063115,0.626816,0.022061
7,14,22,22,1.0,0.97827,0.694835,0.015991,0.654917,0.727396,0.072479,0.657042,0.034196
8,0,21,22,0.954545,0.946392,0.727472,0.016665,0.692414,0.752877,0.060463,0.612986,0.03944
8,1,22,22,1.0,0.935639,0.657129,0.01477,0.629459,0.683066,0.053607,0.549123,0.020768
8,2,22,22,1.0,0.924445,0.615121,0.016861,0.589714,0.645967,0.056254,0.483313,0.030833
8,3,22,22,1.0,0.943525,0.682375,0.010233,0.666108,0.69864,0.032533,0.591226,0.022908
8,4,22,22,1.0,0.990195,0.984343,0.018247,0.947364,1.025644,0.07828,0.976278,0.024538
8,6,22,22,1.0,0.965544,0.760306,0.025403,0.692042,0.805965,0.113923,0.695158,0.046394
